City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Castro,BR,-24.7911,-50.0119,66.92,35,0,6.29,clear sky
106,Atuona,PF,-9.8,-139.0333,77.31,73,100,12.86,overcast clouds
107,Nyurba,RU,63.2842,118.3319,60.48,84,91,1.36,overcast clouds
108,Vanimo,PG,-2.6741,141.3028,77.72,90,80,4.76,broken clouds
109,Phan Thiet,VN,10.9333,108.1,78.64,84,99,9.64,overcast clouds
110,Berdigestyakh,RU,62.0989,126.6992,62.26,67,93,1.9,overcast clouds
111,Katherine,AU,-14.4667,132.2667,57.52,72,36,5.75,scattered clouds
112,Atasu,KZ,48.6814,71.6433,73.2,47,43,8.95,scattered clouds
113,Ahipara,NZ,-35.1667,173.1667,52.97,88,8,4.63,clear sky
114,Banfora,BF,10.6333,-4.7667,82.29,67,97,4.61,light rain
115,Nouadhibou,MR,20.931,-17.0347,75.18,64,1,23.02,clear sky
116,Mujiayingzi,CN,42.1167,118.7833,70.47,79,94,6.08,overcast clouds
117,New Norfolk,AU,-42.7826,147.0587,50.92,65,100,1.01,light rain
118,Gao,ML,16.6362,1.637,100.56,25,56,6.62,broken clouds
119,Cockburn Town,TC,21.4612,-71.1419,87.76,62,40,11.5,scattered clouds
120,Poronaysk,RU,49.2167,143.1167,62.8,97,99,2.93,overcast clouds
121,Chakulia,IN,22.4833,86.7167,82.35,84,21,6.29,few clouds
122,Portland,US,45.5234,-122.6762,68.41,67,40,3.0,scattered clouds
123,Palmas,BR,-10.2128,-48.3603,91.27,38,0,10.36,clear sky
124,Okakarara,NA,-20.5833,17.4333,57.78,20,0,6.26,clear sky
125,Berlevag,NO,70.8578,29.0864,44.55,81,75,29.93,light rain
126,Half Moon Bay,US,37.4636,-122.4286,74.91,74,20,0.0,few clouds
127,Morden,CA,49.1919,-98.1014,84.09,73,0,1.14,clear sky
128,Iqaluit,CA,63.7506,-68.5145,51.53,76,75,13.0,broken clouds
129,Don Benito,ES,38.9563,-5.8616,98.92,7,0,13.35,clear sky
130,Kamenka,RU,51.3223,42.7678,66.85,70,96,7.74,overcast clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,95.5,64,1,3.0,clear sky
132,Narsaq,GL,60.9167,-46.05,53.35,62,30,6.26,scattered clouds
133,Rocha,UY,-34.4833,-54.3333,61.88,51,79,8.48,broken clouds
134,Marsh Harbour,BS,26.5412,-77.0636,83.8,72,78,5.14,broken clouds
135,Beausejour,CA,50.0622,-96.5167,81.79,49,62,10.49,broken clouds
136,Tasiilaq,GL,65.6145,-37.6368,39.63,97,100,11.5,light rain
137,Esperance,AU,-33.8667,121.9,51.64,74,13,15.82,few clouds
138,Skibotn,NO,69.3913,20.2679,46.49,97,100,7.94,overcast clouds
139,Qiongshan,CN,20.0058,110.3542,78.78,94,40,2.24,scattered clouds
140,Ternate,ID,0.8,127.4,80.83,82,83,9.17,broken clouds
141,Dingle,PH,10.9995,122.6711,77.94,82,100,12.71,moderate rain
142,Mana,GF,5.6592,-53.7767,86.14,67,10,9.57,clear sky
143,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,12.66,scattered clouds
144,Havelock,US,34.8791,-76.9013,88.99,77,45,3.98,scattered clouds
145,Bilma,NE,18.6853,12.9164,107.15,11,69,7.54,broken clouds
146,Kiunga,PG,-6.1219,141.2906,72.64,99,98,2.89,overcast clouds
147,Marienburg,PL,54.0359,19.0266,72.88,61,71,5.12,broken clouds
148,Butaritari,KI,3.0707,172.7902,83.23,75,54,16.58,light rain
